OS,File_Pattern,Path_Example,Description,Safe_To_Delete,Enabled
Windows,*.regtrans-ms,C:\Windows\System32\config\*.regtrans-ms,Registry transaction logs,Conditional,Yes
Windows,desktop.ini,All directories,Explorer folder customization metadata,Yes,Yes
Windows,Thumbs.db,All directories,Image thumbnail cache,Yes,Yes
macOS,.DS_Store,All directories,Finder metadata file for folder view settings,Yes,Yes
macOS,Icon?,Anywhere,Icon Image Files,Yes,Yes
macOS,.localized,All directories,Localization marker,Yes,Yes
macOS,sleepimage,/private/var/vm/sleepimage,Hibernation image,Yes,Yes
macOS,swapfile*,/private/var/vm/swapfile*,Virtual memory swap files,Conditional,Yes
macOS,*.log,"/var/log/*.log, ~/Library/Logs/*.log",System and app logs,Yes,Yes
macOS,*.asl,/var/log/asl/*.asl,Apple System Log files,Yes,Yes
macOS,*.crash,~/Library/Logs/DiagnosticReports/*.crash,Crash reports,Yes,Yes
macOS,*.diag,~/Library/Logs/DiagnosticReports/*.diag,Diagnostic reports,Yes,Yes
macOS,*.plist.lockfile,~/Library/Preferences/*.plist.lockfile,Temporary lock files for property lists,Yes,Yes
macOS,*.tmp,"/tmp/*.tmp, ~/Library/Caches/*.tmp",Temporary files,Yes,Yes
macOS,*.cache,~/Library/Caches/*.cache,Cache artifacts,Yes,Yes
macOS,com.apple.TCC.*.db,~/Library/Application Support/com.apple.TCC/*.db,Privacy consent cache,Conditional,Yes
macOS,*.bak,~/Library/Application Support/*.bak,Backup config files,Yes,Yes
macOS,.Spotlight-V100,/.Spotlight-V100,Spotlight index,Conditional,Yes
macOS,.fseventsd,/.fseventsd,Filesystem event logs,Conditional,Yes
macOS,.Trashes,/.Trashes,Trash metadata store,Yes,Yes
macOS,.AppleDouble,All directories,Resource fork metadata files,Yes,Yes
macOS,*.xip.incomplete,~/Downloads/*.xip.incomplete,Incomplete macOS archive downloads,Yes,Yes
macOS,*.download,~/Library/Safari/Downloads/*.download,Incomplete Safari downloads,Yes,Yes
Linux,*.log,"/var/log/*.log, ~/.local/share/*.log",System and application logs,Yes,Yes
Linux,*.gz,/var/log/*.gz,Compressed rotated log files,Yes,Yes
Linux,*.old,/var/log/*.old,Old log backups,Yes,Yes
Linux,*.tmp,"/tmp/*.tmp, /var/tmp/*.tmp",Temporary files,Yes,Yes
Linux,*.swp,~/*.swp,Vim swap files,Yes,Yes
Linux,*.core,/var/lib/systemd/coredump/*.core,Core dumps,Yes,Yes
Linux,*.bak,"~/*.bak, /etc/*.bak",Backup configuration files,Yes,Yes
Linux,*.dpkg-old,/etc/*.dpkg-old,Old dpkg configuration backups,Yes,Yes
Linux,*.dpkg-dist,/etc/*.dpkg-dist,Distribution default config backups,Yes,Yes
Linux,*.rpmnew,/etc/*.rpmnew,RPM-based new config templates,Yes,Yes
Linux,*.rpmsave,/etc/*.rpmsave,RPM-based old config saves,Yes,Yes
Linux,*.lock,"/var/lib/*.lock, /tmp/*.lock",Package manager or app lock files,Conditional,Yes
Linux,core,"/core, /tmp/core",Generic core dump,Yes,Yes
Linux,.xsession-errors,~/.xsession-errors,X session error log,Yes,Yes
Linux,.xsession-errors.old,~/.xsession-errors.old,Old X session errors,Yes,Yes
Linux,nohup.out,~/*.out,Output from nohup command,Yes,Yes
Linux,.bash_history,~/.bash_history,Shell history file,Conditional,Yes
Linux,.python_history,~/.python_history,Python REPL history file,Conditional,Yes
Linux,.lesshst,~/.lesshst,less command history,Conditional,Yes
Linux,.viminfo,~/.viminfo,Vim history info file,Conditional,Yes
Linux,.DS_Store,Mounted macOS drives,Cross-platform metadata,Yes,Yes
Linux,*.journal,/var/log/journal/*/*.journal,Systemd journal binary logs,Yes,Yes
Linux,*.deb,/var/cache/apt/archives/*.deb,Cached Debian package files,Yes,Yes
Linux,*.rpm,/var/cache/yum/packages/*.rpm,Cached RPM package files,Yes,Yes
Linux,*.pacnew,/etc/*.pacnew,Pacman new config templates,Yes,Yes
Linux,*.pacsave,/etc/*.pacsave,Pacman saved old configs,Yes,Yes
